home,away,1,2,x,result
Leicester,Swansea,23,36,35,1
Stoke,Southampton,38,33,23,1
Chelsea,Man Utd,20,36,45,1
Man City,West Ham,13,66,120,1
Newcastle,Spurs,34,35,24,2
Southampton,Spurs,22,35,38,X
Burnley,Leicester,27,34,30,2
Crystal Palace,Hull,20,35,46,2
Newcastle,Swansea,24,35,33,2
QPR,West Ham,25,35,32,X
Stoke,Sunderland,20,36,46,X
West Brom,Liverpool,45,36,20,X
Man City,Aston Villa,13,64,130,1
Everton,Man Utd,36,34,23,1
Arsenal,Chelsea,27,34,30,X
Hull,Liverpool,45,36,20,1
Leicester,Chelsea,60,40,17,2
Leicester,Newcastle,20,37,43,1
Aston Villa,Everton,29,33,28,1
Liverpool,QPR,14,55,100,1
Sunderland,Southampton,44,34,21,1
Swansea,Stoke,23,34,36,1
West Ham,Burnley,22,36,37,1
Man Utd,West Brom,14,51,110,2
Chelsea,Crystal Palace,14,52,105,1
Spurs,Man City,40,40,20,2
Hull,Arsenal,60,40,17,2
Everton,Sunderland,19,37,50,2
Aston Villa,West Ham,20,37,44,1
Hull,Burnley,20,37,44,2
Leicester,Southampton,27,34,30,1
Newcastle,West Brom,27,34,30,X
Stoke,Spurs,30,34,27,1
Crystal Palace,Man Utd,48,37,19,2
Man City,QPR,12,82,210,1
Chelsea,Liverpool,22,35,39,X
Arsenal,Swansea,14,55,100,2
Southampton,Aston Villa,18,39,52,1
Burnley,Stoke,27,34,30,X
QPR,Newcastle,32,36,24,1
Spurs,Hull,18,40,51,1
Sunderland,Leicester,30,30,30,X
West Ham,Everton,30,35,26,2
Liverpool,Crystal Palace,15,48,82,2
Swansea,Man City,55,43,17,2
Man Utd,Arsenal,25,36,31,X
West Brom,Chelsea,45,36,20,1
Arsenal,Sunderland,13,60,150,X
Arsenal,West Brom,13,66,125,1
Aston Villa,Burnley,21,37,38,2
Chelsea,Sunderland,15,49,80,1
Crystal Palace,Swansea,23,36,34,1
Everton,Spurs,25,36,31,2
Hull,Man Utd,35,38,22,X
Leicester,QPR,16,46,63,1
Man City,Southampton,16,45,67,1
Newcastle,West Ham,18,41,50,1
Stoke,Liverpool,36,37,22,1
